Custom model enabled. Expert Only!! Currently non-FPN model is not supported!! Default setting is for MS-COCO.
Namespace(amp=False, anchor_alloc_size=[384, 384], anchor_aspect_ratio=[0.5, 1.0, 2.0], anchor_base_size=16, anchor_scales=[2.0, 4.0, 8.0, 16.0, 32.0], batch_size=2, clip=4.14, custom_model='custom-model', dataset='coco', disable_hybridization=False, epochs=126, executor_threads=1, gpus='0,1,2,3,4,5,6,7', horovod=False, image_max_size=1333, image_short=800, kv_store='dist-sync-perseus', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000, lr_warmup_factor=0.3333333333333333, max_num_gt=100, mixup=False, momentum=0.9, network='resnet50_v1b', nms_thresh=0.5, nms_topk=-1, no_mixup_epochs=20, no_pretrained_base=False, norm_layer='syncbn', num_box_head_conv=4, num_box_head_conv_filters=256, num_box_head_dense_filters=1024, num_fpn_filters=256, num_workers=4, post_nms=-1, profiler='0', rcnn_num_samples=512, rcnn_pos_iou_thresh=0.5, rcnn_pos_ratio=0.25, rcnn_smoothl1_rho=1.0, resume='', roi_mode='align', roi_size=[7, 7], rpn_channel=256, rpn_min_size=1, rpn_nms_thresh=0.7, rpn_smoothl1_rho=0.1111111111111111, rpn_test_post_nms=1000, rpn_test_pre_nms=6000, rpn_train_post_nms=2000, rpn_train_pre_nms=12000, save_interval=1, save_prefix='save-parameter/custom_faster_rcnn_fpn_resnet50_v1b_coco', seed=233, start_epoch=0, static_alloc=False, strides=[4, 8, 16, 32, 64], use_fpn=True, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.00041666666666666664
rank:0, [Epoch 0][Batch 3499], Speed: 5.955 samples/sec, RPN_Conf=0.134,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.551,RCNN_SmoothL1=0.207,RPNAcc=0.947,RPNL1Loss=0.560,RCNNAcc=0.911,RCNNL1Loss=2.283
rank:0, [Epoch 0][Batch 3599], Speed: 5.855 samples/sec, RPN_Conf=0.133,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.552,RCNN_SmoothL1=0.208,RPNAcc=0.948,RPNL1Loss=0.558,RCNNAcc=0.910,RCNNL1Loss=2.282
rank:0, [Epoch 0][Batch 3699], Speed: 5.914 samples/sec, RPN_Conf=0.131,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.550,RCNN_SmoothL1=0.208,RPNAcc=0.948,RPNL1Loss=0.557,RCNNAcc=0.910,RCNNL1Loss=2.281
rank:0, [Epoch 0][Batch 3799], Speed: 5.968 samples/sec, RPN_Conf=0.131,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.551,RCNN_SmoothL1=0.209,RPNAcc=0.949,RPNL1Loss=0.556,RCNNAcc=0.910,RCNNL1Loss=2.279
rank:0, [Epoch 0][Batch 3899], Speed: 5.913 samples/sec, RPN_Conf=0.130,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.551,RCNN_SmoothL1=0.210,RPNAcc=0.949,RPNL1Loss=0.555,RCNNAcc=0.909,RCNNL1Loss=2.278
rank:0, [Epoch 0][Batch 3999], Speed: 5.962 samples/sec, RPN_Conf=0.129,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.552,RCNN_SmoothL1=0.212,RPNAcc=0.949,RPNL1Loss=0.553,RCNNAcc=0.909,RCNNL1Loss=2.274
rank:0, [Epoch 0][Batch 4099], Speed: 5.978 samples/sec, RPN_Conf=0.128,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.552,RCNN_SmoothL1=0.212,RPNAcc=0.950,RPNL1Loss=0.552,RCNNAcc=0.909,RCNNL1Loss=2.273
rank:0, [Epoch 0][Batch 4199], Speed: 5.908 samples/sec, RPN_Conf=0.127,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.553,RCNN_SmoothL1=0.213,RPNAcc=0.950,RPNL1Loss=0.550,RCNNAcc=0.908,RCNNL1Loss=2.270
rank:0, [Epoch 0][Batch 4299], Speed: 5.975 samples/sec, RPN_Conf=0.126,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.552,RCNN_SmoothL1=0.214,RPNAcc=0.950,RPNL1Loss=0.549,RCNNAcc=0.908,RCNNL1Loss=2.269
rank:0, [Epoch 0][Batch 4399], Speed: 5.925 samples/sec, RPN_Conf=0.125,RPN_SmoothL1=0.065,RCNN_CrossEntropy=0.551,RCNN_SmoothL1=0.214,RPNAcc=0.951,RPNL1Loss=0.549,RCNNAcc=0.908,RCNNL1Loss=2.267
rank:0, [Epoch 0][Batch 4499], Speed: 6.000 samples/sec, RPN_Conf=0.124,RPN_SmoothL1=0.065,RCNN_CrossEntropy=0.549,RCNN_SmoothL1=0.214,RPNAcc=0.951,RPNL1Loss=0.547,RCNNAcc=0.908,RCNNL1Loss=2.265
rank:0, [Epoch 0][Batch 4599], Speed: 5.959 samples/sec, RPN_Conf=0.124,RPN_SmoothL1=0.065,RCNN_CrossEntropy=0.548,RCNN_SmoothL1=0.214,RPNAcc=0.952,RPNL1Loss=0.546,RCNNAcc=0.908,RCNNL1Loss=2.263
rank:0, [Epoch 0][Batch 4699], Speed: 6.027 samples/sec, RPN_Conf=0.123,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.548,RCNN_SmoothL1=0.215,RPNAcc=0.952,RPNL1Loss=0.545,RCNNAcc=0.908,RCNNL1Loss=2.261
rank:0, [Epoch 0][Batch 4799], Speed: 5.947 samples/sec, RPN_Conf=0.122,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.549,RCNN_SmoothL1=0.216,RPNAcc=0.952,RPNL1Loss=0.543,RCNNAcc=0.908,RCNNL1Loss=2.260
rank:0, [Epoch 0][Batch 4899], Speed: 5.987 samples/sec, RPN_Conf=0.122,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.549,RCNN_SmoothL1=0.216,RPNAcc=0.952,RPNL1Loss=0.542,RCNNAcc=0.907,RCNNL1Loss=2.258
